,SON_PV,MUL_PV,BCS_PV,CHIH_PV,JAL_PV,GUE_PV,TAM_PV,PUE_PV,VER_PV,OAX_PV,CHIA_PV,YUC_PV
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.011
2019-01-01 07:00:00,0.0,0.0,0.0,0.0,0.011,0.161,0.044,0.172,0.035,0.146,0.218,0.268
2019-01-01 08:00:00,0.002,0.002,0.033,0.19,0.254,0.347,0.312,0.43,0.172,0.382,0.444,0.483
2019-01-01 09:00:00,0.239,0.062,0.161,0.316,0.409,0.495,0.517,0.619,0.326,0.5720000000000001,0.602,0.621
2019-01-01 10:00:00,0.492,0.218,0.299,0.508,0.328,0.659,0.598,0.743,0.426,0.6880000000000001,0.705,0.7030000000000001
2019-01-01 11:00:00,0.657,0.444,0.363,0.5680000000000001,0.348,0.766,0.578,0.8130000000000001,0.507,0.748,0.756,0.745
2019-01-01 12:00:00,0.754,0.419,0.374,0.539,0.411,0.793,0.613,0.8300000000000001,0.562,0.761,0.758,0.737
2019-01-01 13:00:00,0.785,0.463,0.377,0.582,0.36,0.769,0.604,0.803,0.625,0.727,0.712,0.684
2019-01-01 14:00:00,0.758,0.421,0.281,0.617,0.277,0.6980000000000001,0.548,0.729,0.582,0.646,0.623,0.582
2019-01-01 15:00:00,0.664,0.391,0.246,0.424,0.295,0.5750000000000001,0.444,0.603,0.437,0.513,0.443,0.424
2019-01-01 16:00:00,0.51,0.274,0.141,0.155,0.239,0.393,0.268,0.415,0.272,0.323,0.264,0.195
2019-01-01 17:00:00,0.278,0.106,0.051,0.056,0.054,0.136,0.056,0.155,0.073,0.078,0.029,0.0
2019-01-01 18:00:00,0.034,0.014,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.011
2019-01-02 07:00:00,0.0,0.0,0.0,0.0,0.001,0.158,0.009,0.162,0.032,0.156,0.198,0.274
2019-01-02 08:00:00,0.002,0.03,0.084,0.158,0.062,0.395,0.122,0.408,0.175,0.397,0.418,0.489
2019-01-02 09:00:00,0.252,0.317,0.294,0.425,0.139,0.582,0.263,0.606,0.351,0.5730000000000001,0.5740000000000001,0.631
2019-01-02 10:00:00,0.502,0.543,0.334,0.672,0.252,0.7010000000000001,0.28,0.729,0.56,0.684,0.677,0.716
2019-01-02 11:00:00,0.664,0.6890000000000001,0.539,0.763,0.37,0.769,0.193,0.789,0.666,0.744,0.723,0.747
2019-01-02 12:00:00,0.753,0.758,0.474,0.8280000000000001,0.34,0.789,0.203,0.798,0.673,0.756,0.731,0.74
2019-01-02 13:00:00,0.782,0.794,0.373,0.8240000000000001,0.335,0.768,0.251,0.746,0.653,0.724,0.675,0.677
2019-01-02 14:00:00,0.754,0.772,0.25,0.754,0.269,0.6990000000000001,0.232,0.613,0.587,0.645,0.524,0.54
2019-01-02 15:00:00,0.667,0.68,0.236,0.644,0.17,0.5750000000000001,0.147,0.335,0.392,0.513,0.375,0.383
2019-01-02 16:00:00,0.506,0.534,0.108,0.449,0.092,0.376,0.096,0.148,0.157,0.322,0.221,0.155
2019-01-02 17:00:00,0.271,0.329,0.038,0.18,0.038,0.127,0.012,0.032,0.03,0.082,0.021,0.0
2019-01-02 18:00:00,0.032,0.075,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.011
2019-01-03 07:00:00,0.0,0.0,0.0,0.0,0.008,0.065,0.01,0.05,0.016,0.151,0.221,0.265
2019-01-03 08:00:00,0.003,0.035,0.089,0.242,0.225,0.266,0.073,0.238,0.105,0.378,0.451,0.475
2019-01-03 09:00:00,0.256,0.333,0.214,0.513,0.452,0.501,0.137,0.465,0.26,0.5730000000000001,0.609,0.617
2019-01-03 10:00:00,0.505,0.554,0.41,0.6970000000000001,0.616,0.669,0.41,0.635,0.429,0.683,0.706,0.7020000000000001
2019-01-03 11:00:00,0.669,0.6970000000000001,0.605,0.809,0.716,0.75,0.685,0.741,0.599,0.741,0.752,0.74
2019-01-03 12:00:00,0.758,0.777,0.713,0.859,0.745,0.762,0.744,0.775,0.655,0.752,0.753,0.723
2019-01-03 13:00:00,0.787,0.801,0.643,0.854,0.712,0.712,0.737,0.744,0.624,0.72,0.707,0.648
2019-01-03 14:00:00,0.759,0.773,0.407,0.795,0.619,0.61,0.633,0.671,0.5760000000000001,0.64,0.595,0.537
2019-01-03 15:00:00,0.673,0.6920000000000001,0.232,0.679,0.434,0.444,0.419,0.555,0.423,0.509,0.423,0.353
2019-01-03 16:00:00,0.523,0.552,0.163,0.497,0.28,0.239,0.188,0.385,0.185,0.318,0.201,0.162
2019-01-03 17:00:00,0.298,0.341,0.115,0.234,0.065,0.058,0.014,0.13,0.016,0.08,0.015,0.0
2019-01-03 18:00:00,0.042,0.077,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
